job_date,job_name,company_name,company_content,job_content,job_address,job_url,company_url
1/01                ,爬蟲工程師,多利曼股份有限公司," 月薪48,000~60,000元 員工20人 遠端工作 距捷運台北車站約390公尺 "," 1 年以上運用 Python 的經驗
2. 具備運用 Python 進行網路爬蟲的經驗，有開發定期/長時間爬蟲經驗為佳
3. 熟悉 HTML/XML、 CSS、Javascript 架構
4. 熟悉 HTTP、Web API 機制
5. 具備基本","
台北市中山區

經歷不拘 
高中 ",https://www.104.com.tw/job/7uhdu?jobsource=2018indexpoc,https://www.104.com.tw/company/1a2x6blzg6?jobsource=2018indexpoc
1/12                ,資料科學家,揚弈科技股份有限公司, 待遇面議 員工40人 ,"1.協助使用統計、數學或機器學習等方法分析資料
2.演算法設計、開發與驗證
3.Machine Learning & Deep Learning相關新技術研究、開發與應用

【NC-22025】","
桃園市平鎮區

經歷不拘 
大學 ",https://www.104.com.tw/job/7umg4?jobsource=2018indexpoc,https://www.104.com.tw/company/1a2x6bm36x?jobsource=2018indexpoc
1/12                ,邊緣運算韌體工程師,揚弈科技股份有限公司, 待遇面議 員工40人 ,"1. 微控制器韌體撰寫
2. 開發使用者介面設計
3. 電路硬體架設
4. 協助建置廠內IoT sensor韌體開發
5. 熟悉C、C++與Python程式語言及Linux系統
6. 研發自動化機台流程程序, 進行感測器韌體功能之撰寫

【NC-","
桃園市平鎮區

經歷不拘 
大學 ",https://www.104.com.tw/job/7umg8?jobsource=2018indexpoc,https://www.104.com.tw/company/1a2x6bm36x?jobsource=2018indexpoc
1/13                ,【音訊處理工程師】DSP Engineer,POSITIVE GRID_佳格數位科技有限公司, 待遇面議 員工100人 距捷運松江南京站約290公尺 ,"Positive Grid is devoted to creating cutting-edge technologies to revolutionize the world’s music production. We are looking for a DSP engineer to join the DSP Team to develop audio effects, MIR(music information retrieval) and computational audio related topics in the future. 

【Typical Accountabilities】
- Develop real-time audio effects for instruments and music production
- Study and develop MIR topics to improve music production and music education related products experience
- Develop computational audio functions for speaker-related system
- Porting DSP libraries to different platforms include PC, Mac, iOS, Android and embedded systems(ARM, Linux). ","
台北市中山區

經歷不拘 
大學 ",https://www.104.com.tw/job/7ufiz?jobsource=2018indexpoc,https://www.104.com.tw/company/1a2x6bipks?jobsource=2018indexpoc
1/23                ,軟體工程師,永捷股份有限公司, 待遇面議 遠端工作 ,"職務需求：
- 負責軟體之分析、設計以及程式撰寫。
- 規劃執行軟體架構及模組之設計，並控管軟體設計進度。
- 進行軟體之測試與修改。
- 協助研發軟體新技術與新工具。
- 熟悉 Python，PHP編程，且有大型項目架構經驗優先。
- 熟悉","
台北市中山區

經歷不拘 
專科 ",https://www.104.com.tw/job/7ufk5?jobsource=2018indexpoc,https://www.104.com.tw/company/1a2x6bmcc8?jobsource=2018indexpoc
1/16                ,Cocos 前端工程師 (Frontend Engineer),索貝卡有限公司, 待遇面議 員工8人 ,"Web前端遊戲開發、設計與維護
使用Websocket、HTTP與後端通信
針對效能、手機適應性優化遊戲

3年以上開發經驗
熟悉 JavaScript 或 TypeScript
使用Cocos Creator開發 Web 版遊戲
熟悉Websocket、HTTP等網路協定
熟悉 Git

熟悉 CI/CD、CCNA尤佳
","
桃園市中壢區

經歷不拘 
學歷不拘 ",https://www.104.com.tw/job/7ue5q?jobsource=2018indexpoc,https://www.104.com.tw/company/1a2x6blulz?jobsource=2018indexpoc
1/18                ,【兒童程式】教學研發人員,巨匠雲科技教育股份有限公司," 月薪35,000~43,000元 員工200人 距捷運民權西路站約390公尺 "," 具Python專業，熟悉Scratch、Micro:bit、Minecraft加分
2. 抗壓性強、認真細心、具溝通協調及團隊合作能力
3. 思考邏輯清晰、可獨立作業、具危機處理及主動發掘並解決問題的能力
4. 具國中小階段教學經驗尤佳
5. 具指","
台北市中山區

經歷不拘 
大學 ",https://www.104.com.tw/job/7uabf?jobsource=2018indexpoc,https://www.104.com.tw/company/1a2x6bkkbm?jobsource=2018indexpoc
1/17                ,逆向分析工程師（windows）,美商文思海輝技術有限公司台灣分公司," 月薪50,000~100,000元 員工3200人 距捷運西門站約390公尺 ","Andriod與Windows為主要開發平台
3. 推算病毒會對哪些內部架構造成影響，並分析app行為了解相容性
4. 對軟體逆向及兼容性項目感興趣，並不會涉及網路(只需檢查服務能否正常接收的部分)
5. Python為撰寫機器學習、深度學習相關的演算法","
台北市中正區

經歷不拘 
大學 ",https://www.104.com.tw/job/7t04k?jobsource=2018indexpoc,https://www.104.com.tw/company/1a2x6bmak9?jobsource=2018indexpoc
1/19                ,GCP Data Engineer,艾威科軟體股份有限公司, 待遇面議 員工20人 距捷運南京復興站約230公尺 ,"1.熟悉GCP BigQuery, RDMS and No-SQL.
2.熟悉GCP ETL tools, e.g. Terraform, Data flow, Cloud Data Fusion and GCP services
3.熟悉前端BI工具, Data Studio(Looker Studio),Qlik,Power BI, Tableau,SAP Analytics Cloud...
4.客戶訪談確認BI需求，設計前端Dashboard，建置Data Model，並協助驗證測試。

職務相關加分條件:
1.具備GCP Data Engineer認證
2.具備SAP 相關經驗
3.具備SAP BW\HANA 資料倉儲相關實作經驗
4.具備Machine Learning相關實作經驗","
台北市中山區

經歷不拘 
大學 ",https://www.104.com.tw/job/7syqk?jobsource=2018indexpoc,https://www.104.com.tw/company/1a2x6bkgi3?jobsource=2018indexpoc
1/16,工研院南分院_專案工程師(台北/D200),工研院 _財團法人工業技術研究院,待遇面議員工6000人距捷運善導寺站約480公尺,"1. 專案所需之管理工作(包含專案排程與人員等管理工作) 
2. 計畫履約管理，穩健產出計畫品質 
3. 軟、硬體系統整合開發 
4. 依場域需求，評估並執行對應系統之解決方案",台北市中山區經歷不拘碩士,https://www.104.com.tw/job/7uozg?jobsource=2018indexpoc,https://www.104.com.tw/company/19huomw?jobsource=2018indexpoc
